,Cycle Threshold (Ct),,,,,,,,
,,ubi - referece gene,Rac1,RhoA,CDC42,Rock1,Vegf,VegfR,RhoGap24l/2
,DMSO Control,20.72,25.65,29.13,28.45,28.28,29.71,28.61,29.48
,Inhibtior treartment ,19.89,25.34,28.41,27.38,28.01,28.85,28.36,30.45
,,,,,,,,,
, step 1 - delta Cycle Threshold (Ct),,,,,,,,
,,Rac1,RhoA,CDC42,Rock1,Vegf,VegfR,RhoGap24l/2,
,DMSO Control,4.9371224569395 ,8.4113331493804 ,7.7329073256605 ,7.5617175475949 ,8.9919187120941 ,7.8967406134751 ,8.7646177510087 ,
,Inhibtior treartment ,5.443196970896 ,8.512780436804 ,7.483985113645 ,8.114988550431 ,8.953085031778 ,8.467353865359 ,10.558941173721 ,
,,,,,,,,,
, step 2 - delta delta Cycle Threshold (Ct),,,,,,,,
,,Rac1,RhoA,CDC42,Rock1,Vegf,VegfR,RhoGap24l/2,
,ɅɅ G,0.5060745139565 ,0.101447287423298 ,(0.2489222120155),0.553271002835601 ,(0.0388336803166),0.570613251883898 ,1.7943234227124 ,
,,,,,,,,,
,step 3 - fold change Cycle Threshold (Ct),,,,,,,,
,,Rac1,RhoA,CDC42,Rock1,Vegf,VegfR,RhoGap24l/2,
,Fold change,0.722653161319915 ,0.936960329261864 ,1.173242976294650 ,0.701089908083557 ,1.025238787246090 ,0.693329216146228 ,0.316101010839618 ,
